Current Price,Link,Name,Old Price,Product code/number
$6.99,http://www.hm.com/us/product/65274?article=65274-B,Short-sleeved Top,$9.99,65274-B
$6.99,http://www.hm.com/us/product/65274?article=65274-A,Short-sleeved Top,$9.99,65274-A
$6.99,http://www.hm.com/us/product/65274?article=65274-F,Short-sleeved Top,$9.99,65274-F
$6.99,http://www.hm.com/us/product/65274?article=65274-E,Short-sleeved Top,$9.99,65274-E
$5,http://www.hm.com/us/product/60133?article=60133-B,Jersey Top,$12.99,60133-B
$5,http://www.hm.com/us/product/60133?article=60133-F,Jersey Top,$12.99,60133-F
$5,http://www.hm.com/us/product/60133?article=60133-E,Jersey Top,$12.99,60133-E
$5.99,http://www.hm.com/us/product/68934?article=68934-C,Jersey Top,$12.99,68934-C
$7,http://www.hm.com/us/product/65300?article=65300-B,Crêped Camisole Top,$17.99,65300-B
$5.99,http://www.hm.com/us/product/63019?article=63019-A,T-shirt with Printed Design,$12.99,63019-A
$5.99,http://www.hm.com/us/product/68934?article=68934-A,Jersey Top,$12.99,68934-A
$7,http://www.hm.com/us/product/65300?article=65300-A,Crêped Camisole Top,$17.99,65300-A
$7,http://www.hm.com/us/product/65300?article=65300-D,Crêped Camisole Top,$17.99,65300-D
$5.99,http://www.hm.com/us/product/63019?article=63019-Q,T-shirt with Printed Design,$12.99,63019-Q
$7,http://www.hm.com/us/product/65300?article=65300-C,Crêped Camisole Top,$17.99,65300-C
$5.99,http://www.hm.com/us/product/63019?article=63019-K,T-shirt with Printed Design,$12.99,63019-K
$9.99,http://www.hm.com/us/product/64644?article=64644-C,Striped Jersey Top,$14.99,64644-C
$7.99,http://www.hm.com/us/product/38259?article=38259-H,Boat-neck Top,$14.99,38259-H
$9.99,http://www.hm.com/us/product/67571?article=67571-B,Pleated Top,$17.99,67571-B
$6.99,http://www.hm.com/us/product/65274?article=65274-D,Short-sleeved Top,$9.99,65274-D
$9.99,http://www.hm.com/us/product/67571?article=67571-A,Pleated Top,$17.99,67571-A
$12.99,http://www.hm.com/us/product/68451?article=68451-A,Top with Lace,$24.99,68451-A
$7,http://www.hm.com/us/product/67739?article=67739-A,Top with Lace Details,$14.99,67739-A
$7,http://www.hm.com/us/product/67739?article=67739-D,Top with Lace Details,$14.99,67739-D
$5.99,http://www.hm.com/us/product/62235?article=62235-F,Long-sleeved Top,$12.99,62235-F
$5.99,http://www.hm.com/us/product/62235?article=62235-B,Long-sleeved Top,$12.99,62235-B
$5.99,http://www.hm.com/us/product/62235?article=62235-A,Long-sleeved Top,$12.99,62235-A
$5.99,http://www.hm.com/us/product/62235?article=62235-G,Long-sleeved Top,$12.99,62235-G
$12.99,http://www.hm.com/us/product/68451?article=68451-D,Top with Lace,$24.99,68451-D
$5.99,http://www.hm.com/us/product/68429?article=68429-B,Top with Lace Yoke,$9.99,68429-B
$5.99,http://www.hm.com/us/product/54630?article=54630-F,Slub Jersey Top,$12.99,54630-F
$9.99,http://www.hm.com/us/product/58925?article=58925-A,Mock-turtleneck Top,$17.99,58925-A
$7.99,http://www.hm.com/us/product/43522?article=43522-G,Slub Jersey Top,$17.99,43522-G
$7.99,http://www.hm.com/us/product/43522?article=43522-E,Slub Jersey Top,$17.99,43522-E
$7.99,http://www.hm.com/us/product/65943?article=65943-C,Ribbed Top,$17.99,65943-C
$9.99,http://www.hm.com/us/product/65943?article=65943-A,Ribbed Top,$17.99,65943-A
$7.99,http://www.hm.com/us/product/69910?article=69910-A,Wide-cut Top,$17.99,69910-A
$3.99,http://www.hm.com/us/product/83742?article=83742-X,Jersey Top,$5.99,83742-X
$7.99,http://www.hm.com/us/product/69910?article=69910-C,Wide-cut Top,$17.99,69910-C
$7.99,http://www.hm.com/us/product/47468?article=47468-E,Beaded Camisole Top,$17.99,47468-E
$9.99,http://www.hm.com/us/product/63058?article=63058-C,V-neck Jersey Top,$12.99,63058-C
$7.99,http://www.hm.com/us/product/69910?article=69910-B,Wide-cut Top,$17.99,69910-B
$9.99,http://www.hm.com/us/product/71574?article=71574-A,Tank Top with Lacing,$17.99,71574-A
$5.99,http://www.hm.com/us/product/66337?article=66337-C,Short T-shirt,$9.99,66337-C
$9.99,http://www.hm.com/us/product/60024?article=60024-A,Crêped Top,$14.99,60024-A
$6.99,http://www.hm.com/us/product/61473?article=61473-A,Long-sleeved Top,$14.99,61473-A
$7.99,http://www.hm.com/us/product/60675?article=60675-T,T-shirt with Motif,$12.99,60675-T
$9.99,http://www.hm.com/us/product/44914?article=44914-K,Jersey Crêpe Top,$17.99,44914-K
$9.99,http://www.hm.com/us/product/70988?article=70988-A,Short Top,$14.99,70988-A
$7.99,http://www.hm.com/us/product/67584?article=67584-E,Lyocell Top,$14.99,67584-E
$5.99,http://www.hm.com/us/product/62216?article=62216-D,Short-sleeved Top,$12.99,62216-D
$9.99,http://www.hm.com/us/product/67863?article=67863-B,Crinkled Off-the-shoulder Top,$19.99,67863-B
$9.99,http://www.hm.com/us/product/65666?article=65666-E,Linen Scoop-neck Top,$17.99,65666-E
$5.99,http://www.hm.com/us/product/91281?article=91281-K,Long T-shirt,$9.99,91281-K
$5.99,http://www.hm.com/us/product/89119?article=89119-P,V-neck Jersey Top,$14.99,89119-P
$5.99,http://www.hm.com/us/product/43558?article=43558-G,Polo Shirt,$12.99,43558-G
$7.99,http://www.hm.com/us/product/60675?article=60675-U,T-shirt with Motif,$12.99,60675-U
$2.99,http://www.hm.com/us/product/69443?article=69443-C,Short Jersey Tank Top,$4.99,69443-C
$7.99,http://www.hm.com/us/product/67360?article=67360-C,Nepped T-shirt,$17.99,67360-C
$5.99,http://www.hm.com/us/product/66337?article=66337-D,Short T-shirt,$9.99,66337-D
$14.99,http://www.hm.com/us/product/68183?article=68183-C,Blouce with Lace Yoke,$29.99,68183-C
$6.99,http://www.hm.com/us/product/70462?article=70462-B,Lyocell Jersey Tank Top,$12.99,70462-B
$5.99,http://www.hm.com/us/product/44402?article=44402-C,Jersey Top,$14.99,44402-C
$7.99,http://www.hm.com/us/product/58147?article=58147-G,Off-the-shoulder Top,$12.99,58147-G
$4.99,http://www.hm.com/us/product/69750?article=69750-C,Ribbed Tank Top,$6.99,69750-C
